"","Annot","Term","Annotated","Significant","Pvalue","Padj","GeneID"
"GO:0023051","GO:0023051","regulation of signaling",3516,38,1.72791423586141e-05,0.00112976179719194,"Acvr2b,Agap2,Anxa1,Arhgap26,Bst1,Cd300a,Chrna7,Clcf1,Clec16a,Cyfip1,Dab1,Dhx36,Eif2a,Eny2,Fgf2,Gclc,Grk5,Htr2c,Inpp4b,Iqgap1,Litaf,Mctp2,Met,Mid1,Mllt3,Pde4d,Plk2,Plscr1,Ptpn12,Rbpms,Rgs18,Rora,Sall1,Sesn1,Sipa1l1,Snx13,Thy1,Tmem33"
"GO:0044093","GO:0044093","positive regulation of molecular function",1498,22,1.80291223039588e-05,0.00115423943416803,"Acvr2b,Adap2,Agap2,Arap2,Arrdc4,Bcas3,Cd300a,Chrna7,Dab1,Fgf2,Iqgap1,Met,Nmd3,Plk2,Rabgap1l,Sipa1l1,Snx13,Tbc1d14,Tbc1d15,Tbc1d30,Tbc1d4,Thy1"
"GO:0044237","GO:0044237","cellular metabolic process",9992,79,2.16246228293811e-05,0.00134872556019032,"Abcc1,Acvr2b,Agap2,Agmo,Akap1,Anxa1,Arnt2,Arrdc4,B3galnt1,Bbs7,Bcas3,Bod1l,Bst1,Ccna2,Cd300a,Chordc1,Chrna7,Chst2,Clcf1,Clec16a,Cltc,Cyfip1,Dab1,Dhx36,Eif2a,Elovl5,Eny2,Eri1,Etv1,Fam126a,Fbxl5,Fgf2,Gclc,Grk5,Gsap,Htr2c,Huwe1,Inpp4b,Iqgap1,Isg20,Klf5,Litaf,Lyplal1,Mcee,Met,Mkrn3,Mllt3,Nasp,Nfia,Nhlrc3,Nmd3,P4ha1,Papss1,Pde4d,Pdlim1,Pi4k2b,Plk2,Plscr1,Polr3f,Ppp1r3b,Ptpn12,Ptprm,Rbfox1,Rbpms,Rora,Sall1,Serpina1b,Sesn1,Slfn8,Slfn9,Srsf1,Tbc1d14,Tceanc2,Tfdp2,Tfec,Thy1,Trpm6,Ublcp1,Zc3h12b"
"GO:0071704","GO:0071704","organic substance metabolic process",10872,84,2.19447699347595e-05,0.00134872556019032,"Abcc1,Acvr2b,Agap2,Agmo,Akap1,Anxa1,Arnt2,Arrdc4,B3galnt1,Bbs7,Bcas3,Bod1l,Bst1,Ccna2,Cd300a,Chordc1,Chrna7,Chst2,Clcf1,Clec16a,Cltc,Cyfip1,Dab1,Dhx36,Eif2a,Elovl5,Eny2,Eri1,Etv1,F8,Fam126a,Fbxl5,Fgf2,Gclc,Grk5,Gsap,H2-DMb1,Htr2c,Huwe1,Il16,Inpp4b,Iqgap1,Isg20,Klf5,Litaf,Lyplal1,Mcee,Met,Mkrn3,Mllt3,Myom1,Nasp,Nfia,Nhlrc3,Nmd3,P4ha1,Papss1,Pde4d,Pdlim1,Pi4k2b,Plk2,Plscr1,Polr3f,Ppp1r3b,Ptpn12,Ptprm,Rbfox1,Rbpms,Rora,Sall1,Serpina1b,Slfn8,Slfn9,Srsf1,Tceanc2,Tfdp2,Tfec,Thy1,Tmem135,Trpm6,Tspan8,Ttc39b,Ublcp1,Zc3h12b"
"GO:0036211","GO:0036211","protein modification process",3424,37,2.31403292967724e-05,0.00139431827311729,"Acvr2b,Agap2,Akap1,Anxa1,Arrdc4,B3galnt1,Bod1l,Bst1,Ccna2,Cd300a,Chordc1,Chrna7,Clcf1,Dab1,Eif2a,Eny2,Fbxl5,Fgf2,Gclc,Grk5,Huwe1,Iqgap1,Lyplal1,Met,Mkrn3,Mllt3,Nhlrc3,P4ha1,Pde4d,Plk2,Ptpn12,Ptprm,Rbpms,Serpina1b,Thy1,Trpm6,Ublcp1"
"GO:0071705","GO:0071705","nitrogen compound transport",2004,26,2.50746686888597e-05,0.00148181647847819,"Abcc1,Acvr2b,Akap1,Anxa1,Arrdc4,Atp2c1,Bbs7,Bcas3,Cd300a,Chrna7,Clcf1,Cltc,Eny2,Htr2c,Ipo11,Lyplal1,Myh10,Myom1,Nasp,Nbea,Nmd3,Nupl2,Rabgap1l,Snx13,Srsf1,Zmat3"
"GO:0051173","GO:0051173","positive regulation of nitrogen compound metabolic process",3041,34,2.71193974324447e-05,0.00155456325346991,"Acvr2b,Agap2,Arnt2,Arrdc4,Bbs7,Bcas3,Ccna2,Cd300a,Chrna7,Clcf1,Dab1,Dhx36,Eny2,Etv1,Fbxl5,Fgf2,Gclc,Gsap,Huwe1,Iqgap1,Klf5,Litaf,Met,Mllt3,Nfia,Nmd3,Pde4d,Plk2,Rbpms,Rora,Sall1,Srsf1,Tfdp2,Tfec"
"GO:0044238","GO:0044238","primary metabolic process",9877,78,2.73174148022698e-05,0.00155456325346991,"Acvr2b,Agap2,Agmo,Akap1,Anxa1,Arnt2,Arrdc4,B3galnt1,Bbs7,Bcas3,Bod1l,Bst1,Ccna2,Cd300a,Chordc1,Chrna7,Chst2,Clcf1,Clec16a,Cltc,Cyfip1,Dab1,Dhx36,Eif2a,Elovl5,Eny2,Eri1,Etv1,F8,Fam126a,Fbxl5,Fgf2,Gclc,Grk5,Gsap,Htr2c,Huwe1,Inpp4b,Iqgap1,Isg20,Klf5,Litaf,Lyplal1,Mcee,Met,Mkrn3,Mllt3,Nasp,Nfia,Nhlrc3,Nmd3,P4ha1,Papss1,Pde4d,Pdlim1,Pi4k2b,Plk2,Plscr1,Polr3f,Ppp1r3b,Ptpn12,Ptprm,Rbfox1,Rbpms,Rora,Sall1,Serpina1b,Slfn8,Slfn9,Srsf1,Tceanc2,Tfdp2,Tfec,Thy1,Trpm6,Ttc39b,Ublcp1,Zc3h12b"
"GO:0008152","GO:0008152","metabolic process",11312,86,3.03679539892194e-05,0.00166863889336495,"Abcc1,Acvr2b,Agap2,Agmo,Akap1,Anxa1,Arnt2,Arrdc4,B3galnt1,Bbs7,Bcas3,Bod1l,Bst1,Ccna2,Cd300a,Chordc1,Chrna7,Chst2,Clcf1,Clec16a,Cltc,Cyfip1,Dab1,Dhx36,Eif2a,Elovl5,Eny2,Eri1,Etv1,F8,Fam126a,Fbxl5,Fgf2,Gclc,Grk5,Gsap,H2-DMb1,Htr2c,Huwe1,Il16,Inpp4b,Iqgap1,Isg20,Klf5,Litaf,Lyplal1,Mcee,Met,Mkrn3,Mllt3,Myom1,Nasp,Nfia,Nhlrc3,Nmd3,P4ha1,Papss1,Pde4d,Pdlim1,Pi4k2b,Plk2,Plscr1,Polr3f,Ppp1r3b,Ptpn12,Ptprm,Rbfox1,Rbpms,Rora,Sall1,Serpina1b,Sesn1,Slfn8,Slfn9,Srsf1,Tbc1d14,Tceanc2,Tfdp2,Tfec,Thy1,Tmem135,Trpm6,Tspan8,Ttc39b,Ublcp1,Zc3h12b"
"GO:0022603","GO:0022603","regulation of anatomical structure morphogenesis",1003,17,3.04079980567644e-05,0.00166863889336495,"Anxa1,Cyfip1,Dab1,Dhx36,Fgf2,Huwe1,Met,Mllt3,Myh10,Plk2,Plxna4,Ptprm,Rnd3,Sall1,Sipa1l1,Thy1,Tmem135"
"GO:0048812","GO:0048812","neuron projection morphogenesis",715,14,3.4237137679875e-05,0.00184580217702203,"Chrna7,Cyfip1,Dab1,Dhx36,Emb,Etv1,Iqgap1,Met,Myh10,Nrcam,Plxna4,Ptprm,Sipa1l1,Thy1"
"GO:0019222","GO:0019222","regulation of metabolic process",6782,59,3.54896510398487e-05,0.00188033961457681,"Acvr2b,Agap2,Akap1,Anxa1,Arnt2,Arrdc4,Bbs7,Bcas3,Bod1l,Bst1,Ccna2,Cd300a,Chordc1,Chrna7,Clcf1,Clec16a,Cltc,Cyfip1,Dab1,Dhx36,Eif2a,Elovl5,Eny2,Eri1,Etv1,Fbxl5,Fgf2,Gclc,Gsap,Htr2c,Huwe1,Il16,Iqgap1,Klf5,Litaf,Met,Mllt3,Myom1,Nfia,Nmd3,Pde4d,Pdlim1,Plk2,Polr3f,Ppp1r3b,Rbfox1,Rbpms,Rora,Sall1,Serpina1b,Sesn1,Srsf1,Tbc1d14,Tfdp2,Tfec,Thy1,Tmem135,Tspan8,Ttc39b"
"GO:0051049","GO:0051049","regulation of transport",1929,25,3.73525034903425e-05,0.0019454956478953,"Akap1,Anxa1,Atp2c1,Bcas3,Cd300a,Chrna7,Clcf1,Cyfip1,Eny2,Gclc,Gm5150,Gm9733,Htr2c,Il16,Inpp4b,Lyplal1,Mctp2,Met,Myh10,Myom1,Pde4d,Sirpb1a,Tbc1d4,Thy1,Ttc39b"
"GO:0065009","GO:0065009","regulation of molecular function",2562,30,3.82497760299053e-05,0.00195902602899832,"Acvr2b,Adap2,Agap2,Anxa1,Arap2,Arrdc4,Bcas3,Bod1l,Ccna2,Cd300a,Chordc1,Chrna7,Dab1,Fgf2,Iqgap1,Met,Nmd3,Pde4d,Plk2,Plscr1,Plxna4,Rabgap1l,Serpina1b,Sipa1l1,Snx13,Tbc1d14,Tbc1d15,Tbc1d30,Tbc1d4,Thy1"
"GO:0120039","GO:0120039","plasma membrane bounded cell projection morphogenesis",730,14,4.28453658090629e-05,0.0021584231005123,"Chrna7,Cyfip1,Dab1,Dhx36,Emb,Etv1,Iqgap1,Met,Myh10,Nrcam,Plxna4,Ptprm,Sipa1l1,Thy1"
"GO:0048858","GO:0048858","cell projection morphogenesis",735,14,4.610906980445e-05,0.00228537373401733,"Chrna7,Cyfip1,Dab1,Dhx36,Emb,Etv1,Iqgap1,Met,Myh10,Nrcam,Plxna4,Ptprm,Sipa1l1,Thy1"
"GO:0007399","GO:0007399","nervous system development",2481,29,5.44820067054174e-05,0.00265751121596425,"Anxa1,Arnt2,Bbs7,Cc2d2a,Chrna7,Clcf1,Clmn,Csmd3,Cyfip1,Dab1,Dhx36,Emb,Etv1,Fam126a,Fgf2,Iqgap1,Met,Myh10,Nav2,Nfia,Nrcam,Plk2,Plxna4,Ptprm,Rbfox1,Rora,Sall1,Sipa1l1,Thy1"
"GO:0016358","GO:0016358","dendrite development",317,9,5.8146954727303e-05,0.00279196237307816,"Chrna7,Csmd3,Cyfip1,Dab1,Dhx36,Iqgap1,Met,Plk2,Sipa1l1"
"GO:0032989","GO:0032989","cellular anatomical entity morphogenesis",857,15,6.38248721011518e-05,0.00301744356872061,"Cfl2,Chrna7,Cyfip1,Dab1,Dhx36,Emb,Etv1,Iqgap1,Met,Myh10,Nrcam,Plxna4,Ptprm,Sipa1l1,Thy1"
"GO:0048667","GO:0048667","cell morphogenesis involved in neuron differentiation",664,13,6.5921798551327e-05,0.00306935889315497,"Chrna7,Cyfip1,Dab1,Dhx36,Emb,Etv1,Met,Myh10,Nrcam,Plxna4,Ptprm,Sipa1l1,Thy1"
"GO:0006954","GO:0006954","inflammatory response",763,14,6.87295229590553e-05,0.00315232573213697,"Abcc1,Anxa1,Bst1,Cd300a,Chrna7,Chst2,Clcf1,Clec10a,F8,Il16,Plscr1,Pstpip1,Rora,Serpina1b"
"GO:0043412","GO:0043412","macromolecule modification",3607,37,7.10993586990927e-05,0.00321306366591635,"Acvr2b,Agap2,Akap1,Anxa1,Arrdc4,B3galnt1,Bod1l,Bst1,Ccna2,Cd300a,Chordc1,Chrna7,Clcf1,Dab1,Eif2a,Eny2,Fbxl5,Fgf2,Gclc,Grk5,Huwe1,Iqgap1,Lyplal1,Met,Mkrn3,Mllt3,Nhlrc3,P4ha1,Pde4d,Plk2,Ptpn12,Ptprm,Rbpms,Serpina1b,Thy1,Trpm6,Ublcp1"
"GO:0051649","GO:0051649","establishment of localization in cell",2137,26,7.35196479301385e-05,0.00327428808825095,"Agap2,Akap1,Ankrd50,Bbs7,Bcas3,Cd300a,Chrna7,Clec16a,Clmn,Cltc,Cyfip1,Eny2,Fgf2,Gclc,Htr2c,Inpp4b,Ipo11,Mctp2,Myh10,Nbea,Nmd3,Nupl2,Pde4d,Snx13,Tbc1d14,Thy1"
"GO:0120036","GO:0120036","plasma membrane bounded cell projection organization",1650,22,7.6449142479817e-05,0.00335611735486396,"Bbs7,Bcas3,Cc2d2a,Chrna7,Clmn,Csmd3,Cyfip1,Dab1,Dhx36,Emb,Etv1,Iqgap1,Klf5,Met,Myh10,Nrcam,Plk2,Plxna4,Ptprm,Sipa1l1,Tbc1d30,Thy1"
"GO:0021564","GO:0021564","vagus nerve development",3,2,8.59491189270463e-05,0.00372002313327906,"Nav2,Plxna4"
"GO:0030155","GO:0030155","regulation of cell adhesion",784,14,9.15499780220508e-05,0.00389338588612275,"Anxa1,Bcas3,Bst1,Cd300a,Chst2,Dab1,Gm5150,Gm9733,H2-DMb1,Iqgap1,Pde4d,Plxna4,Sirpb1a,Thy1"
"GO:0072359","GO:0072359","circulatory system development",1208,18,9.24885029895739e-05,0.00389338588612275,"Acvr2b,Adap2,Anxa1,Bbs7,Bcas3,Cc2d2a,Dhx36,Fgf2,Klf5,Met,Myh10,Pdlim1,Plk2,Plxna4,Ptprm,Rora,Sall1,Thy1"
"GO:0080090","GO:0080090","regulation of primary metabolic process",5742,51,9.5633064623583e-05,0.00397135685930095,"Acvr2b,Agap2,Akap1,Anxa1,Arnt2,Arrdc4,Bbs7,Bcas3,Bod1l,Bst1,Ccna2,Cd300a,Chordc1,Chrna7,Clcf1,Clec16a,Cltc,Cyfip1,Dab1,Dhx36,Eif2a,Elovl5,Eny2,Etv1,Fbxl5,Fgf2,Gclc,Gsap,Htr2c,Huwe1,Iqgap1,Klf5,Litaf,Met,Mllt3,Nfia,Nmd3,Pde4d,Pdlim1,Plk2,Ppp1r3b,Rbfox1,Rbpms,Rora,Sall1,Serpina1b,Srsf1,Tfdp2,Tfec,Thy1,Ttc39b"
"GO:0050773","GO:0050773","regulation of dendrite development",137,6,0.00010119584645085,0.00414633114857951,"Csmd3,Cyfip1,Dhx36,Iqgap1,Met,Sipa1l1"
"GO:0030030","GO:0030030","cell projection organization",1696,22,0.000113803120042162,0.00460153931433639,"Bbs7,Bcas3,Cc2d2a,Chrna7,Clmn,Csmd3,Cyfip1,Dab1,Dhx36,Emb,Etv1,Iqgap1,Klf5,Met,Myh10,Nrcam,Plk2,Plxna4,Ptprm,Sipa1l1,Tbc1d30,Thy1"
"GO:0051246","GO:0051246","regulation of protein metabolic process",2595,29,0.000120428891293186,0.00480620757070078,"Acvr2b,Agap2,Akap1,Arrdc4,Bbs7,Bod1l,Bst1,Ccna2,Cd300a,Chordc1,Chrna7,Clcf1,Clec16a,Cyfip1,Dab1,Dhx36,Eif2a,Fbxl5,Fgf2,Gclc,Gsap,Huwe1,Iqgap1,Met,Pde4d,Plk2,Rbpms,Serpina1b,Thy1"
"GO:0060255","GO:0060255","regulation of macromolecule metabolic process",6272,54,0.00012506066487192,0.00488307302682504,"Acvr2b,Agap2,Akap1,Anxa1,Arnt2,Arrdc4,Bbs7,Bcas3,Bod1l,Bst1,Ccna2,Cd300a,Chordc1,Chrna7,Clcf1,Clec16a,Cltc,Cyfip1,Dab1,Dhx36,Eif2a,Eny2,Eri1,Etv1,Fbxl5,Fgf2,Gclc,Gsap,Huwe1,Il16,Iqgap1,Klf5,Litaf,Met,Mllt3,Myom1,Nfia,Nmd3,Pde4d,Pdlim1,Plk2,Polr3f,Ppp1r3b,Rbfox1,Rbpms,Rora,Sall1,Serpina1b,Srsf1,Tfdp2,Tfec,Thy1,Tmem135,Tspan8"
"GO:0065008","GO:0065008","regulation of biological quality",4140,40,0.000125532954480696,0.00488307302682504,"Abcc1,Ackr4,Acvr2b,Anxa1,Atp10a,Atp2b3,Atp2c1,Cfl2,Chrna7,Clcf1,Cyfip1,Dhx36,Eny2,F8,Fbxl5,Fgf2,Gclc,Htr2c,Inpp4b,Mctp2,Met,Myh10,Nav2,Nbea,Nrcam,Pde4d,Plk2,Plscr1,Plxna4,Ptprm,Rnd3,Rora,Scpep1,Sipa1l1,Srsf1,Thy1,Tmem135,Tspan8,Ttc39b,Tuba1a"
"GO:0031175","GO:0031175","neuron projection development",1139,17,0.000143544972147769,0.00551392124262617,"Chrna7,Clmn,Csmd3,Cyfip1,Dab1,Dhx36,Emb,Etv1,Iqgap1,Met,Myh10,Nrcam,Plk2,Plxna4,Ptprm,Sipa1l1,Thy1"
"GO:0006807","GO:0006807","nitrogen compound metabolic process",9288,72,0.000150530712300455,0.00571087504813949,"Abcc1,Acvr2b,Agap2,Akap1,Anxa1,Arnt2,Arrdc4,B3galnt1,Bbs7,Bcas3,Bod1l,Bst1,Ccna2,Cd300a,Chordc1,Chrna7,Clcf1,Clec16a,Cltc,Cyfip1,Dab1,Dhx36,Eif2a,Elovl5,Eny2,Eri1,Etv1,F8,Fbxl5,Fgf2,Gclc,Grk5,Gsap,Htr2c,Huwe1,Iqgap1,Isg20,Klf5,Litaf,Lyplal1,Mcee,Met,Mkrn3,Mllt3,Nasp,Nfia,Nhlrc3,Nmd3,P4ha1,Papss1,Pde4d,Pdlim1,Plk2,Plscr1,Polr3f,Ptpn12,Ptprm,Rbfox1,Rbpms,Rora,Sall1,Serpina1b,Slfn8,Slfn9,Srsf1,Tceanc2,Tfdp2,Tfec,Thy1,Trpm6,Ublcp1,Zc3h12b"
"GO:0008104","GO:0008104","protein localization",2515,28,0.000171398387149916,0.00636084899684474,"Acvr2b,Akap1,Anxa1,Arrdc4,Atp2c1,Bbs7,Bcas3,Cc2d2a,Cltc,Eny2,Fam126a,Ipo11,Iqgap1,Klf5,Lyplal1,Mid1,Myh10,Myom1,Nasp,Nbea,Nmd3,Nrcam,Nupl2,Rabgap1l,Snx13,Srsf1,Thy1,Zmat3"
"GO:0043170","GO:0043170","macromolecule metabolic process",9324,72,0.000171802950451713,0.00636084899684474,"Acvr2b,Agap2,Akap1,Anxa1,Arnt2,Arrdc4,B3galnt1,Bbs7,Bcas3,Bod1l,Bst1,Ccna2,Cd300a,Chordc1,Chrna7,Clcf1,Clec16a,Cltc,Cyfip1,Dab1,Dhx36,Eif2a,Eny2,Eri1,Etv1,F8,Fbxl5,Fgf2,Gclc,Grk5,Gsap,H2-DMb1,Huwe1,Il16,Iqgap1,Isg20,Klf5,Litaf,Lyplal1,Met,Mkrn3,Mllt3,Myom1,Nasp,Nfia,Nhlrc3,Nmd3,P4ha1,Pde4d,Pdlim1,Plk2,Polr3f,Ppp1r3b,Ptpn12,Ptprm,Rbfox1,Rbpms,Rora,Sall1,Serpina1b,Slfn8,Slfn9,Srsf1,Tceanc2,Tfdp2,Tfec,Thy1,Tmem135,Trpm6,Tspan8,Ublcp1,Zc3h12b"
"GO:0031323","GO:0031323","regulation of cellular metabolic process",5881,51,0.000178318491867993,0.00652348482750406,"Acvr2b,Agap2,Akap1,Anxa1,Arnt2,Arrdc4,Bbs7,Bcas3,Bod1l,Bst1,Ccna2,Cd300a,Chordc1,Chrna7,Clcf1,Clec16a,Cyfip1,Dab1,Dhx36,Eif2a,Elovl5,Eny2,Etv1,Fbxl5,Fgf2,Gclc,Gsap,Htr2c,Huwe1,Iqgap1,Klf5,Litaf,Met,Mllt3,Nfia,Nmd3,Pde4d,Pdlim1,Plk2,Ppp1r3b,Rbfox1,Rbpms,Rora,Sall1,Serpina1b,Sesn1,Srsf1,Tbc1d14,Tfdp2,Tfec,Thy1"
"GO:0090050","GO:0090050","positive regulation of cell migration involved in sprouting angiogenesis",21,3,0.000189103685721259,0.00683665442613445,"Anxa1,Fgf2,Plk2"
"GO:0120035","GO:0120035","regulation of plasma membrane bounded cell projection organization",743,13,0.000200207776156436,0.00715393600149684,"Bcas3,Csmd3,Cyfip1,Dab1,Dhx36,Iqgap1,Klf5,Met,Nrcam,Plxna4,Sipa1l1,Tbc1d30,Thy1"
"GO:0035556","GO:0035556","intracellular signal transduction",2544,28,0.000207404330694456,0.00732590239338005,"Ackr4,Adap2,Agap2,Arhgap26,Bst1,Cd300a,Chrna7,Clcf1,Clec16a,Cyfip1,Dab1,Dhx36,Fgf2,Htr2c,Inpp4b,Iqgap1,Litaf,Met,Mid1,Myom1,Pde4d,Plk2,Plscr1,Rnd3,Rora,Sesn1,Sipa1l1,Sirpb1a"
"GO:0048870","GO:0048870","cell motility",1773,22,0.000213545551377968,0.00737331999308422,"Abcc1,Ackr4,Anxa1,Bcas3,Bst1,Cd300a,Cfl2,Chrna7,Chst2,Dab1,Fgf2,Il16,Iqgap1,Met,Myh10,Pde4d,Pdlim1,Plk2,Plxna4,Ptprm,Rnd3,Thy1"
"GO:0051674","GO:0051674","localization of cell",1773,22,0.000213545551377968,0.00737331999308422,"Abcc1,Ackr4,Anxa1,Bcas3,Bst1,Cd300a,Cfl2,Chrna7,Chst2,Dab1,Fgf2,Il16,Iqgap1,Met,Myh10,Pde4d,Pdlim1,Plk2,Plxna4,Ptprm,Rnd3,Thy1"
"GO:0022409","GO:0022409","positive regulation of cell-cell adhesion",298,8,0.000220550143741004,0.00753056213017894,"Anxa1,Chst2,Gm5150,Gm9733,H2-DMb1,Pde4d,Sirpb1a,Thy1"
"GO:0040012","GO:0040012","regulation of locomotion",1072,16,0.000227082930918522,0.00766841589794086,"Abcc1,Anxa1,Bcas3,Bst1,Cd300a,Chst2,Fgf2,Htr2c,Il16,Iqgap1,Met,Pde4d,Plk2,Plxna4,Ptprm,Thy1"
"GO:0016192","GO:0016192","vesicle-mediated transport",1664,21,0.000239782155161416,0.00800924524794601,"Agap2,Ankrd50,Anxa1,Atp2c1,Cd300a,Chrna7,Clec16a,Cltc,Cyfip1,Gm5150,Gm9733,Lyplal1,Met,Myh10,Nbea,Pstpip1,Rabgap1l,Siglech,Sirpb1a,Tbc1d14,Tbc1d4"
"GO:0031344","GO:0031344","regulation of cell projection organization",759,13,0.000245928793283356,0.00812622776085757,"Bcas3,Csmd3,Cyfip1,Dab1,Dhx36,Iqgap1,Klf5,Met,Nrcam,Plxna4,Sipa1l1,Tbc1d30,Thy1"
"GO:0015031","GO:0015031","protein transport",1550,20,0.000256087381171026,0.00837187789721875,"Acvr2b,Akap1,Anxa1,Arrdc4,Atp2c1,Bbs7,Bcas3,Cltc,Eny2,Ipo11,Lyplal1,Myh10,Myom1,Nasp,Nbea,Nmd3,Nupl2,Rabgap1l,Snx13,Zmat3"
"GO:0006952","GO:0006952","defense response",1803,22,0.000269718641612104,0.0087246882702526,"Abcc1,Akap1,Anxa1,Bst1,Cd300a,Chrna7,Chst2,Clcf1,Clec10a,Dhx36,F8,Htr2c,Il16,Isg20,Plscr1,Polr3f,Pstpip1,Rora,Serpina1b,Slfn8,Slfn9,Wfdc17"
"GO:0021563","GO:0021563","glossopharyngeal nerve development",5,2,0.000284473412841965,0.00892027344554448,"Nav2,Plxna4"
"GO:0043396","GO:0043396","corticotropin-releasing hormone secretion",5,2,0.000284473412841965,0.00892027344554448,"Clcf1,Htr2c"
"GO:0043397","GO:0043397","regulation of corticotropin-releasing hormone secretion",5,2,0.000284473412841965,0.00892027344554448,"Clcf1,Htr2c"
"GO:0032502","GO:0032502","developmental process",6639,55,0.000296990825648675,0.00921871522442805,"Acvr2b,Adap2,Agap2,Anxa1,Arnt2,Atp2c1,Bbs7,Bcas3,Cc2d2a,Cfl2,Chrna7,Clcf1,Clmn,Csmd3,Cyfip1,Dab1,Dhx36,Emb,Etv1,Fam126a,Fgf2,Grk5,Htr2c,Huwe1,Inpp4b,Iqgap1,Klf5,Mctp2,Met,Mllt3,Msi2,Myh10,Nasp,Nav2,Nfia,Nrcam,Paqr8,Pde4d,Pdlim1,Plk2,Plscr1,Plxna4,Ptprm,Rabgap1l,Rbfox1,Rnd3,Rora,Sall1,Serpina1b,Sipa1l1,Srsf1,Thy1,Tm2d3,Tmem135,Tspan8"
"GO:0060326","GO:0060326","cell chemotaxis",314,8,0.000313367911684046,0.00948884669060478,"Abcc1,Ackr4,Anxa1,Bst1,Fgf2,Il16,Met,Pde4d"
"GO:0010595","GO:0010595","positive regulation of endothelial cell migration",109,5,0.000314520993519113,0.00948884669060478,"Anxa1,Bcas3,Fgf2,Met,Plk2"
"GO:0016477","GO:0016477","cell migration",1575,20,0.000314956837761695,0.00948884669060478,"Abcc1,Ackr4,Anxa1,Bcas3,Bst1,Cd300a,Chst2,Dab1,Fgf2,Il16,Iqgap1,Met,Myh10,Pde4d,Pdlim1,Plk2,Plxna4,Ptprm,Rnd3,Thy1"
"GO:0031399","GO:0031399","regulation of protein modification process",1579,20,0.000325402153224582,0.00964925746619834,"Acvr2b,Agap2,Akap1,Arrdc4,Bod1l,Bst1,Ccna2,Cd300a,Chordc1,Chrna7,Clcf1,Dab1,Fgf2,Gclc,Huwe1,Iqgap1,Met,Pde4d,Rbpms,Thy1"
"GO:0009266","GO:0009266","response to temperature stimulus",170,6,0.000326561267974171,0.00964925746619834,"Chordc1,Chrna7,Dhx36,Gclc,Tfec,Tmem135"
"GO:0050865","GO:0050865","regulation of cell activation",785,13,0.000339300338538436,0.00993018990789155,"Anxa1,Bst1,Cd300a,Clcf1,Gclc,Gm5150,Gm9733,H2-DMb1,Il16,Plscr1,Rora,Sirpb1a,Thy1"
"GO:0007409","GO:0007409","axonogenesis",493,10,0.000353663001886957,0.0102528906113077,"Cyfip1,Dab1,Emb,Etv1,Myh10,Nrcam,Plxna4,Ptprm,Sipa1l1,Thy1"
"GO:0048584","GO:0048584","positive regulation of response to stimulus",2362,26,0.000360498046324942,0.0103533691248276,"Abcc1,Acvr2b,Agap2,Anxa1,Cd300a,Chrna7,Clcf1,Clec16a,Cyfip1,Dhx36,Eif2a,Fgf2,H2-DMb1,Htr2c,Il16,Iqgap1,Met,Mid1,Mllt3,Pde4d,Plscr1,Polr3f,Rbpms,Sall1,Thy1,Tmem33"
"GO:0010594","GO:0010594","regulation of endothelial cell migration",174,6,0.000369690345446461,0.0105190595514535,"Anxa1,Bcas3,Fgf2,Met,Plk2,Ptprm"
"GO:1903039","GO:1903039","positive regulation of leukocyte cell-cell adhesion",248,7,0.000405899982779035,0.0114434004319264,"Anxa1,Chst2,Gm5150,Gm9733,H2-DMb1,Sirpb1a,Thy1"
"GO:0051247","GO:0051247","positive regulation of protein metabolic process",1486,19,0.000412681161539381,0.0115288109946411,"Acvr2b,Agap2,Arrdc4,Bbs7,Cd300a,Chrna7,Clcf1,Dab1,Dhx36,Fbxl5,Fgf2,Gclc,Gsap,Huwe1,Iqgap1,Met,Pde4d,Plk2,Rbpms"
"GO:2000298","GO:2000298","regulation of Rho-dependent protein serine/threonine kinase activity",6,2,0.000425201380195601,0.0117715661382079,"Chordc1,Thy1"
"GO:0000902","GO:0000902","cell morphogenesis",1143,16,0.000460045162021034,0.0126224891329521,"Anxa1,Chrna7,Cyfip1,Dab1,Dhx36,Emb,Etv1,Iqgap1,Met,Myh10,Nrcam,Plxna4,Ptprm,Rnd3,Sipa1l1,Thy1"
"GO:1902531","GO:1902531","regulation of intracellular signal transduction",1632,20,0.000495353354343687,0.0134709810433465,"Agap2,Arhgap26,Bst1,Cd300a,Chrna7,Clcf1,Clec16a,Dhx36,Fgf2,Htr2c,Inpp4b,Iqgap1,Litaf,Met,Mid1,Pde4d,Plscr1,Rora,Sesn1,Sipa1l1"
"GO:0007411","GO:0007411","axon guidance",258,7,0.000513708115846722,0.0138148192978805,"Cyfip1,Emb,Etv1,Myh10,Nrcam,Plxna4,Ptprm"
"GO:0022008","GO:0022008","neurogenesis",1892,22,0.000520272637464997,0.0138148192978805,"Anxa1,Chrna7,Clcf1,Clmn,Csmd3,Cyfip1,Dab1,Dhx36,Emb,Etv1,Fgf2,Iqgap1,Met,Myh10,Nrcam,Plk2,Plxna4,Ptprm,Rora,Sall1,Sipa1l1,Thy1"
"GO:0097485","GO:0097485","neuron projection guidance",259,7,0.000525633916959052,0.0138148192978805,"Cyfip1,Emb,Etv1,Myh10,Nrcam,Plxna4,Ptprm"
