Annot	Term	Annotated	Significant	Pvalue	Padj	GeneID
GO:0045686	negative regulation of glial cell differentiation	31	1	0.031259239	0.122533463	Ntrk3
GO:2000249	regulation of actin cytoskeleton reorganization	31	1	0.031259239	0.122533463	Ntrk3
GO:0007204	positive regulation of cytosolic calcium ion concentration	273	2	0.031482925	0.122533463	"Ddit3,Adcyap1r1"
GO:0022607	cellular component assembly	2420	6	0.031625547	0.122533463	"Angptl4,Tppp3,Ddit3,Acaca,Ntrk3,Cpt1a"
GO:0046883	regulation of hormone secretion	274	2	0.031694846	0.122533463	"Arntl,Cpt1a"
GO:0097193	intrinsic apoptotic signaling pathway	276	2	0.03212041	0.122533463	"Ddit3,Ankrd2"
GO:0007274	neuromuscular synaptic transmission	32	1	0.032251843	0.122533463	Slc5a7
GO:0033144	negative regulation of intracellular steroid hormone receptor signaling pathway	32	1	0.032251843	0.122533463	Arntl
GO:0035883	enteroendocrine cell differentiation	32	1	0.032251843	0.122533463	Arntl
GO:0048710	regulation of astrocyte differentiation	32	1	0.032251843	0.122533463	Ntrk3
GO:0055090	acylglycerol homeostasis	32	1	0.032251843	0.122533463	Angptl4
GO:0070328	triglyceride homeostasis	32	1	0.032251843	0.122533463	Angptl4
GO:0070887	cellular response to chemical stimulus	2444	6	0.033004901	0.124483653	"Arntl,F7,Ddit3,Acaca,Fasn,Ankrd2"
GO:0006101	citrate metabolic process	33	1	0.033243473	0.124483653	Acly
GO:0046320	regulation of fatty acid oxidation	33	1	0.033243473	0.124483653	Cpt1a
GO:0070570	regulation of neuron projection regeneration	33	1	0.033243473	0.124483653	Ntrk3
GO:0006730	one-carbon metabolic process	34	1	0.034234129	0.12592837	Aldh1l1
GO:0048665	neuron fate specification	34	1	0.034234129	0.12592837	Ntrk3
GO:0051154	negative regulation of striated muscle cell differentiation	34	1	0.034234129	0.12592837	Ankrd2
GO:0071398	cellular response to fatty acid	34	1	0.034234129	0.12592837	Acaca
GO:0090342	regulation of cell aging	34	1	0.034234129	0.12592837	Arntl
GO:0030851	granulocyte differentiation	36	1	0.036212524	0.132736751	Fasn
GO:0009056	catabolic process	1855	5	0.036891222	0.134750041	"Arntl,Aldh1l1,Ddit3,Lipf,Cpt1a"
GO:0045923	positive regulation of fatty acid metabolic process	37	1	0.037200264	0.134931968	Cpt1a
GO:0072350	tricarboxylic acid metabolic process	37	1	0.037200264	0.134931968	Acly
GO:0032879	regulation of localization	2516	6	0.037384591	0.135129719	"Arntl,F7,Ddit3,Adcyap1r1,Ntrk3,Cpt1a"
GO:0019216	regulation of lipid metabolic process	301	2	0.03762965	0.135544863	"Angptl4,Cpt1a"
GO:0007271	"synaptic transmission, cholinergic"	38	1	0.038187034	0.137078284	Slc5a7
GO:0048511	rhythmic process	306	2	0.03877264	0.138702126	"Arntl,Ntrk3"
GO:1902930	regulation of alcohol biosynthetic process	39	1	0.039172835	0.139334827	Adcyap1r1
GO:0044712	single-organism catabolic process	744	3	0.039217199	0.139334827	"Aldh1l1,Lipf,Cpt1a"
GO:0010518	positive regulation of phospholipase activity	40	1	0.040157667	0.141708921	Adcyap1r1
GO:0031103	axon regeneration	40	1	0.040157667	0.141708921	Ntrk3
GO:0044765	single-organism transport	2566	6	0.040643653	0.141815679	"Arntl,Ddit3,Tst,Adcyap1r1,Cpt1a,Slc5a3"
GO:0009987	cellular process	15212	20	0.040848869	0.141815679	"Acsbg1,Arntl,Aldh1l1,Angptl4,Tppp3,Acly,F7,Ddit3,Tst,S100a4,Acaca,Fasn,Hmgcs2,Adcyap1r1,Slc5a7,Ntrk3,Acss2,Cpt1a,Slc5a3,Ankrd2"
GO:0051480	regulation of cytosolic calcium ion concentration	316	2	0.04109852	0.141815679	"Ddit3,Adcyap1r1"
GO:0008219	cell death	1910	5	0.041106965	0.141815679	"Angptl4,Ddit3,Adcyap1r1,Ntrk3,Ankrd2"
GO:0032757	positive regulation of interleukin-8 production	41	1	0.041141532	0.141815679	Ddit3
GO:0046173	polyol biosynthetic process	41	1	0.041141532	0.141815679	Adcyap1r1
GO:0051898	negative regulation of protein kinase B signaling	41	1	0.041141532	0.141815679	Ddit3
GO:0048584	positive regulation of response to stimulus	1922	5	0.042065299	0.144248462	"Arntl,F7,S100a4,Adcyap1r1,Ntrk3"
GO:0042755	eating behavior	42	1	0.042124431	0.144248462	Cpt1a
GO:0043161	proteasome-mediated ubiquitin-dependent protein catabolic process	323	2	0.042757754	0.145865491	"Arntl,Ddit3"
GO:0048583	regulation of response to stimulus	3308	7	0.042876888	0.145865491	"Arntl,F7,Ddit3,S100a4,Adcyap1r1,Ntrk3,Ankrd2"
GO:0006695	cholesterol biosynthetic process	43	1	0.043106364	0.146168484	Hmgcs2
GO:0010033	response to organic substance	2614	6	0.043943779	0.148048105	"Arntl,Acsbg1,F7,Ddit3,Acaca,Fasn"
GO:0097306	cellular response to alcohol	44	1	0.044087332	0.148048105	Acaca
GO:1902653	secondary alcohol biosynthetic process	44	1	0.044087332	0.148048105	Hmgcs2
GO:0044085	cellular component biogenesis	2623	6	0.044581475	0.148936817	"Angptl4,Tppp3,Ddit3,Acaca,Ntrk3,Cpt1a"
GO:0046879	hormone secretion	332	2	0.044927958	0.148936817	"Arntl,Cpt1a"
GO:0019933	cAMP-mediated signaling	45	1	0.045067336	0.148936817	Adcyap1r1
GO:1904036	negative regulation of epithelial cell apoptotic process	45	1	0.045067336	0.148936817	Angptl4
GO:2000351	regulation of endothelial cell apoptotic process	45	1	0.045067336	0.148936817	Angptl4
GO:0043647	inositol phosphate metabolic process	46	1	0.046046378	0.151212238	Adcyap1r1
GO:0070542	response to fatty acid	46	1	0.046046378	0.151212238	Acaca
GO:0009914	hormone transport	339	2	0.046644083	0.152693365	"Arntl,Cpt1a"
GO:0014014	negative regulation of gliogenesis	47	1	0.047024458	0.152976439	Ntrk3
GO:2000677	regulation of transcription regulatory region DNA binding	47	1	0.047024458	0.152976439	Ddit3
GO:0045773	positive regulation of axon extension	48	1	0.048001576	0.155668663	Ntrk3
GO:0010517	regulation of phospholipase activity	49	1	0.048977734	0.156398226	Adcyap1r1
GO:0010524	positive regulation of calcium ion transport into cytosol	49	1	0.048977734	0.156398226	Adcyap1r1
GO:0031018	endocrine pancreas development	49	1	0.048977734	0.156398226	Arntl
GO:0072577	endothelial cell apoptotic process	49	1	0.048977734	0.156398226	Angptl4
GO:0090398	cellular senescence	49	1	0.048977734	0.156398226	Arntl
GO:0007267	cell-cell signaling	1379	4	0.049361763	0.157142493	"Arntl,Ddit3,Slc5a7,Cpt1a"
GO:0016126	sterol biosynthetic process	50	1	0.049952933	0.158057762	Hmgcs2
GO:0043392	negative regulation of DNA binding	50	1	0.049952933	0.158057762	Ddit3
